"reaction","temp","Output"
"FC1=CC(N)=CC=C1*FC1=NC=CC(Br)=C1*Fc1nccc(Nc2cc(F)ccc2)c1","",2.091029989
"NC1=CC=C(F)C=C1*CC1=NC=CC(Br)=C1*Fc1ccc(Nc2cc(C)ncc2)cc1","",2.910105867
"NC1=C(C)C=CC=C1C*FC1=CN=CC(Br)=C1*Fc1cc(Nc2c(C)cccc2C)cnc1","",2.131394261
"NC1=CC=CC=C1C*BrC1=CN=CC(C(C)=O)=C1*O=C(C)c1cc(Nc2c(C)cccc2)cnc1","",5.046018871
"NC1=CC=C(C)C=C1*O=[N+](C1=CC(Br)=NC=C1)[O-]*O=[N+]([O-])c1cc(Nc2ccc(C)cc2)ncc1","",3.405049934
"CC(C1=CC=CC=C1N)=O*COC1=NC=CC(Br)=C1*O=C(C)c1c(Nc2cc(OC)ncc2)cccc1","",7.103013414
"NC1=CC=C([N+]([O-])=O)C=C1*N#CC1=CN=C(Br)C=C1*O=[N+]([O-])c1ccc(Nc2ncc(C#N)cc2)cc1","",0.924330268
"NC1=CC=C([N+]([O-])=O)C=C1*COC1=NC=CC(Br)=C1*O=[N+]([O-])c1ccc(Nc2cc(OC)ncc2)cc1","",5.061057334
"NC1=CC=CC=C1C(F)(F)F*COC1=CN=C(Br)C=C1*FC(F)(F)c1c(Nc2ncc(OC)cc2)cccc1","",2.324819908
"O=C(O)C1=CC=C(OC)C(N)=C1*N#CC1=CN=C(Br)C=C1*O=C(O)c1cc(Nc2ncc(C#N)cc2)c(OC)cc1","",3.286184675
"NC1=CC=C(F)C=C1*CC1=CC(Br)=CC(C)=N1*Fc1ccc(Nc2cc(C)nc(C)c2)cc1","",3.214306499
"NC1=CC=CC=C1C#C*FC(C1=NC=CC=C1Br)(F)F*FC(F)(F)c1c(Nc2c(C#C)cccc2)cccn1","",1.531940139
"NC1=C(C)C=C(C)C=C1C*FC(C1=NC=CC(Br)=C1)(F)F*FC(F)(F)c1nccc(Nc2c(C)cc(C)cc2C)c1","",0.072086271
"NC1=C(C)C=C(C)C=C1C*FC(C1=NC=CC=C1Br)(F)F*FC(F)(F)c1c(Nc2c(C)cc(C)cc2C)cccn1","",0.019435294
"CC(C1=CC=CC=C1N)=O*O=C(OC)C1=CN=C(Br)C=C1*O=C(OC)c1cnc(Nc2c(C(=O)C)cccc2)cc1","",1.549488592
"N#CC1=CC=CC(OC)=C1N*FC(C1=NC=CC(Br)=C1)(F)F*FC(F)(F)c1nccc(Nc2cc(C)c(C)cc2)c1","",2.713484789
"NC1=CC=CC=C1C(F)(F)F*FC(C1=CC=CC(Br)=N1)F*FC(F)(F)c1c(Nc2nc(C(F)F)ccc2)cccc1","",3.064394665
"O=C(O)C1=CC=C([N+]([O-])=O)C(N)=C1*FC(C1=NC=CC(Br)=C1)(F)F*FC(F)(F)c1nccc(Nc2c([N+](=O)[O-])ccc(C(=O)O)c2)c1","",2.593169591
"NC1=CC=CC(C)=C1*N#CC1=C(Br)C=NC=C1*N#Cc1c(Nc2cc(C)ccc2)cncc1","",2.117206524
"FC1=CC(N)=CC=C1*FC1=CN=CC(Br)=C1*Fc1cc(Nc2cc(F)ccc2)cnc1","",2.171404645
"N#Cc1ccc(N)cc1*FC1=NC=CC(Br)=C1*Fc1nccc(Nc2ccc(C#N)cc2)c1","",0.789470266
"CC(C1=CC=CC=C1N)=O*FC1=CC(Br)=NC=C1*Fc1cc(Nc2c(C(=O)C)cccc2)ncc1","",0.959615385
"FC(F)(F)C1=CC=C(N)C=C1*CC1=CC=CC(Br)=N1*FC(F)(F)c1ccc(Nc2nc(C)ccc2)cc1","",4.747303608
"FC(F)(F)C1=CC=C(N)C=C1*N#CC1=C(Br)C=NC=C1*FC(F)(F)c1ccc(Nc2c(C#N)ccnc2)cc1","",1.90756405
"NC1=CC=CC=C1F*COC1=CN=C(Br)C=C1*Fc1c(Nc2ncc(OC)cc2)cccc1","",6.860644671
"NC1=C(C)C=C(C)C=C1C*COC1=CN=CC(Br)=C1*O(C)c1cc(Nc2c(C)cc(C)cc2C)cnc1","",0.009187621
"OC1=CC=CC=C1N*FC(C1=NC=CC=C1Br)(F)F*FC(F)(F)c1c(Nc2c(O)cccc2)cccn1","",2.193298969
"FC1=CC(N)=CC=C1*FC(C1=NC=CC(Br)=C1)(F)F*FC(F)(F)c1nccc(Nc2cc(F)ccc2)c1","",1.701872876
"NC1=CC=C(C(C)(C)C)C=C1*CC1=CC(Br)=CC(C)=N1*N(c1cc(C)nc(C)c1)c1ccc(C(C)(C)C)cc1","",3.277044724
"O=C(O)C1=CC=C(OC)C(N)=C1*FC(C1=NC=CC(Br)=C1)(F)F*FC(F)(F)c1nccc(Nc2c(OC)ccc(C(=O)O)c2)c1","",5.435781167
"NC1=CC=CC(C)=C1*FC1=NC=CC(Br)=C1*Fc1nccc(Nc2cc(C)ccc2)c1","",2.110786351
"NC1=CC=CC(C)=C1*N#CC1=C(Br)C=CN=C1*N#Cc1c(Nc2cc(C)ccc2)ccnc1","",0.046289902
"NC1=C(C)C=CC=C1C*CC1=NC=CC(Br)=C1*N(c1c(C)cccc1C)c1cc(C)ncc1","",1.598863221
"NC1=CC(C(C)=O)=CC=C1*CC1=NC=CC(Br)=C1*O=C(C)c1cc(Nc2cc(C)ncc2)ccc1","",7.71828412
"NC1=CC=CC=C1C(F)(F)F*CC1=NC=CC(Br)=C1*FC(F)(F)c1c(Nc2cc(C)ncc2)cccc1","",3.274814815
"O=C(O)C1=CC=C([N+]([O-])=O)C(N)=C1*FC1=CC(Br)=NC=C1*Fc1cc(Nc2c([N+](=O)[O-])ccc(C(=O)O)c2)ncc1","",4.43993349
"O=C(O)C1=CC=C([N+]([O-])=O)C(N)=C1*FC1=CN=CC(Br)=C1*Fc1cc(Nc2c([N+](=O)[O-])ccc(C(=O)O)c2)cnc1","",5.520296814
"NC1=CC=CC=C1C*COC1=NC=CC(Br)=C1*O(C)c1nccc(Nc2c(C)cccc2)c1","",5.458515284
"NC1=CC=CC=C1OC*COC1=CN=C(Br)C=C1*O(C)c1c(Nc2ncc(OC)cc2)cccc1","",7.872614016
"NC1=CC(C(C)=O)=CC=C1*O=[N+](C1=CC(Br)=NC=C1)[O-]*O=[N+]([O-])c1cc(Nc2cc(C(=O)C)ccc2)ncc1","",4.109888042
"CC(C1=CC=C(N)C=C1)=O*O=[N+](C1=CC(Br)=NC=C1)[O-]*O=[N+]([O-])c1cc(Nc2ccc(C(=O)C)cc2)ncc1","",2.277930591
"N#CC1=CC=CC(OC)=C1N*COC1=NC=CC(Br)=C1*O(C)c1nccc(Nc2cc(C)c(C)cc2)c1","",4.011935484
"FC(F)(F)C1=CC=C(N)C=C1*N#CC1=CN=C(Br)C=C1*FC(F)(F)c1ccc(Nc2ncc(C#N)cc2)cc1","",0.882160851
"O=C(O)C1=CC=C([N+]([O-])=O)C(N)=C1*BrC1=CN=CC(C(C)=O)=C1*O=[N+]([O-])c1c(Nc2cc(C(=O)C)cnc2)cc(C(=O)O)cc1","",3.642043991
"NC1=CC=CC=C1F*FC(C1=CC(Br)=NC=C1)(F)F*FC(F)(F)c1cc(Nc2c(F)cccc2)ncc1","",3.193623713
"CC(C1=CC=C(N)C=C1)=O*O=C(OC)C1=CN=C(Br)C=C1*O=C(OC)c1cnc(Nc2ccc(C(=O)C)cc2)cc1","",1.985914718
"O=C(O)C1=CC=C([N+]([O-])=O)C(N)=C1*FC(C1=NC=C(Br)C=C1)(F)F*FC(F)(F)c1ncc(Nc2c([N+](=O)[O-])ccc(C(=O)O)c2)cc1","",3.676542732
"NC1=CC=CC=C1C#C*CC1=NC=CC(Br)=C1*N(c1c(C#C)cccc1)c1cc(C)ncc1","",2.502140301
"N#Cc1ccc(N)cc1*FC1=CC(Br)=NC=C1*Fc1cc(Nc2ccc(C#N)cc2)ncc1","",0.876235023
"NC1=CC=C(OC)C=C1*CC1=CN=CC(Br)=C1*O(C)c1ccc(Nc2cc(C)cnc2)cc1","",5.999597431
"NC1=CC=C([N+]([O-])=O)C=C1*FC1=CC(Br)=NC=C1*Fc1cc(Nc2ccc([N+](=O)[O-])cc2)ncc1","",5.257067036
"NC1=CC=C([N+]([O-])=O)C=C1*N#CC1=C(Br)C=NC=C1*O=[N+]([O-])c1ccc(Nc2c(C#N)ccnc2)cc1","",2.541886667
"NC1=CC=CC=C1C#C*CN(C)C1=NC=CC(Br)=C1*N(C)(C)c1nccc(Nc2c(C#C)cccc2)c1","",3.563343294
"CC(C1=CC=C(N)C=C1)=O*COC1=CN=CC(Br)=C1*O=C(C)c1ccc(Nc2cc(OC)cnc2)cc1","",3.037175248
"NC1=CC=C(C(C)(C)C)C=C1*O=[N+](C1=C(Br)C=NC=C1)[O-]*O=[N+]([O-])c1c(Nc2ccc(C(C)(C)C)cc2)cncc1","",1.163687824
"NC1=CC=CC=C1C(F)(F)F*COC1=NC=CC(Br)=C1*FC(F)(F)c1c(Nc2cc(OC)ncc2)cccc1","",5.560661481
"O=C(O)C1=CC=C(OC)C(N)=C1*BrC1=CN=CC(C(C)=O)=C1*O=C(O)c1cc(Nc2cc(C(=O)C)cnc2)c(OC)cc1","",5.040859141
"NC1=CC=CC(C)=C1*FC(C1=NC=CC(Br)=C1)(F)F*FC(F)(F)c1nccc(Nc2ccc(CC)cc2)c1","",2.23656547
"NC1=CC=C(C(C)(C)C)C=C1*FC(C1=CC=CC(Br)=N1)F*FC(F)c1nc(Nc2ccc(C(C)(C)C)cc2)ccc1","",3.122201493
"NC1=CC=CC=C1C(F)(F)F*FC(C1=NC=CC=C1Br)(F)F*FC(F)(F)c1c(Nc2c(C(F)(F)F)cccc2)cccn1","",1.646165977
"O=C(O)C1=CC=C(OC)C(N)=C1*FC(C1=NC=C(Br)C=C1)(F)F*FC(F)(F)c1ncc(Nc2c(OC)ccc(C(=O)O)c2)cc1","",4.36388904
"NC1=CC=CC=C1C*FC1=CN=CC(Br)=C1*Fc1cc(Nc2c(C)cccc2)cnc1","",3.274894811
"NC1=CC=CC(C)=C1*CC1=CN=CC(Br)=C1*N(c1cc(C)cnc1)c1cc(C)ccc1","",6.770959144
"NC1=CC=CC=C1C#C*FC1=CC(Br)=NC=C1*Fc1cc(Nc2c(C#C)cccc2)ncc1","",0.38671805
"NC1=CC=CC=C1C(F)(F)F*N#CC1=C(Br)C=NC=C1*FC(F)(F)c1c(Nc2c(C#N)ccnc2)cccc1","",0.943208404
"NC1=CC=CC(C)=C1*COC1=CN=C(Br)C=C1*O(C)c1cnc(Nc2ccc(CC)cc2)cc1","",7.078966756
"NC1=CC=C(F)C=C1*BrC1=CN=CC(C(C)=O)=C1*Fc1ccc(Nc2cc(C(=O)C)cnc2)cc1","",4.262020093
"NC1=C(C)C=CC=C1C*COC1=NC=CC(Br)=C1*O(C)c1nccc(Nc2c(C)cccc2C)c1","",4.331346902
"NC1=CC=CC=C1OC*O=[N+](C1=C(Br)C=NC=C1)[O-]*O=[N+]([O-])c1c(Nc2c(OC)cccc2)cncc1","",0.024274518
"NC1=CC=C(C(C)(C)C)C=C1*O=[N+](C1=CC(Br)=NC=C1)[O-]*O=[N+]([O-])c1cc(Nc2ccc(C(C)(C)C)cc2)ncc1","",3.581832602
"NC1=CC=C(C)C=C1*FC(C1=CC(Br)=NC=C1)(F)F*FC(F)(F)c1cc(Nc2ccc(C)cc2)ncc1","",2.505452585
"FC1=CC(N)=CC=C1*FC(C1=CC=CC(Br)=N1)F*FC(F)c1nc(Nc2cc(F)ccc2)ccc1","",2.824059696
"C#CC1=CC=CC(N)=C1*FC(C1=NC=C(Br)C=C1)(F)F*FC(F)(F)c1ncc(Nc2cc(C#C)ccc2)cc1","",0.034799295
"C#CC1=CC=CC(N)=C1*FC(C1=NC=CC=C1Br)(F)F*FC(F)(F)c1c(Nc2cc(C#C)ccc2)cccn1","",0.154413533
"NC1=C(C)C=CC=C1C*FC(C1=NC=CC=C1Br)(F)F*FC(F)(F)c1c(Nc2c(C)cccc2C)cccn1","",0.027954946
"NC1=CC=C(OC)C=C1*FC(C1=NC=CC=C1Br)(F)F*FC(F)(F)c1c(Nc2ccc(OC)cc2)cccn1","",2.288704942
"NC1=CC=CC=C1OC*CC1=CC(Br)=CC(C)=N1*O(C)c1c(Nc2cc(C)nc(C)c2)cccc1","",4.365560366
"CC(C1=CC=CC=C1N)=O*FC(C1=CC(Br)=NC=C1)(F)F*FC(F)(F)c1cc(Nc2c(C(=O)C)cccc2)ncc1","",4.054635326
"CC(C1=CC=C(N)C=C1)=O*FC(C1=NC=CC(Br)=C1)(F)F*FC(F)(F)c1nccc(Nc2ccc(C(=O)C)cc2)c1","",1.95045525
